"level","FSC-A","SSC-A","CD4","CD11b","CD44","CD5/Ly6G","IA/IE","CD317","CD62L","CD8a/SiglecF","F4/80","CD161","Ly6C","CD25","CD11c","CD19","Populations"
"dendritic cells",0.32317723,0.144840398,-0.113882519,0.339099811,0.314804675,0.003455367,0.501542035,-0.14335789,-0.252850421,-0.332947435,0.094399402,-0.40440303,0.016780223,0.108305847,0.797054821,-0.187112492,"1_cDC2"
"NK cells",0.36369346,0.03022545,-0.053604472,-0.17447301,0.438431623,0.51803034,-0.115829751,-0.180938169,-0.006778153,-0.296745938,-0.119824935,0.244392459,0.41932259,-0.008110633,0.328743636,-0.205450738,"10_NKTc"
"Others (CST; NI ;TDP…)",0.07051393,-0.124766034,-0.223126883,-0.198324385,0.01824881,-0.255640266,-0.190308098,-0.246848033,-0.28090571,-0.367031492,-0.156144772,-0.359561743,-0.14172147,-0.03062209,0.10818974,-0.184268937,"11_NI"
"dendritic cells",0.36991439,0.220659976,-0.017568488,-0.129853861,0.514002745,-0.219022708,0.036004309,0.516886686,0.022638184,-0.217261238,-0.200384624,-0.399786569,0.675804643,0.021620562,0.574793958,-0.235072768,"12_pDCs"
"myeloid cells",-0.116497748,-0.166769447,-0.232591131,-0.133663289,-0.065617999,-0.208708601,0.150752623,-0.067389057,-0.265754458,-0.184140327,0.076638816,-0.215956617,0.121184186,-0.166062926,0.106389639,-0.060587119,"13_RPMac"
"Others (CST; NI ;TDP…)",0.357420816,0.003741618,-0.218024062,-0.169491949,0.318891584,0.40355665,-0.138554622,-0.265464637,0.413709094,-0.322206758,-0.169583317,-0.308669748,0.398392732,-0.011261864,0.371072897,-0.126735595,"14_TDN"
"Others (CST; NI ;TDP…)",0.411426335,0.155387418,0.08419177,-0.172037882,0.360183282,0.602324574,-0.081839836,-0.223258235,0.283569017,0.239618324,-0.187198993,-0.380519358,0.224488153,0.056942836,0.377291459,-0.181194873,"15_TDP"
"T CD4",0.404489863,-0.104107367,0.136932079,-0.189556373,0.25822046,0.7293906,-0.142314067,-0.134593939,0.501507259,-0.336115123,-0.210646507,-0.413193407,0.178246029,0.299002415,0.350234189,-0.164128258,"16_TregCM"
"B cells",0.344889158,0.096996463,-0.192729226,-0.185739622,0.303594209,0.303771776,0.470694784,-0.177888463,0.443641142,-0.312302641,-0.181464153,-0.383927126,0.245925559,-0.023202759,0.307660904,0.502816576,"17_B1B cells"
"B cells",0.27997445,-0.116485351,-0.219801782,-0.212225185,0.141131731,-0.234821894,0.4208377,-0.244321369,0.461854113,-0.380486243,-0.202231582,-0.38863929,0.168257838,-0.029630897,0.280424355,0.407234533,"18_B2B cells"
"T CD4",0.366768071,0.018919479,0.223842976,-0.171974636,0.461749462,0.706694635,-0.132963644,-0.218224011,0.434938348,-0.335411662,-0.202784505,-0.390763112,0.110895583,-0.019833324,0.33747673,-0.201948503,"19_CD4CM"
"Others (CST; NI ;TDP…)",-0.279033025,0.785264368,0.608031273,-0.660201909,-0.795042423,0.020999517,0.668885852,0.367410826,0.565625126,0.429528346,0.540384487,0.386331369,0.931362545,0.754735145,0.953563049,0.972515217,"2_CSTHi"
